time_s,bean_mv,air_mv
59.484609,2091.355325,2028.780219
59.991256,2091.363598,2027.933454
60.486967,2091.356212,2027.094018
60.996295,2091.332678,2026.220391
61.484062,2091.294994,2025.373315
61.984587,2091.240925,2024.493617
62.489074,2091.170654,2023.596382
62.994681,2091.084350,2022.686663
63.494769,2090.983368,2021.776695
63.983690,2090.869640,2020.877412
64.496547,2090.734425,2019.924028
64.994151,2090.587676,2018.989297
65.483729,2090.428365,2018.060474
65.983935,2090.250331,2017.102256
66.500966,2090.050125,2016.102172
67.011805,2089.836194,2015.104624
67.510352,2089.611997,2014.122202
67.999624,2089.377204,2013.149696
68.515498,2089.113845,2012.115516
69.025372,2088.837658,2011.084677
69.513038,2088.558766,2010.090824
70.026990,2088.249300,2009.035208
70.514105,2087.941321,2008.027124
71.018939,2087.607126,2006.974755
71.520794,2087.259815,2005.921093
72.014347,2086.903634,2004.877741
72.531949,2086.514594,2003.776156
73.031764,2086.123924,2002.705428
73.528655,2085.721001,2001.634334
74.028340,2085.301261,2000.550734
74.535479,2084.860414,1999.444510
75.047888,2084.399876,1998.320382
75.547567,2083.936228,1997.218167
76.059027,2083.446856,1996.084015
76.564383,2082.948710,1994.957685
77.066605,2082.439346,1993.832907
77.574516,2081.909800,1992.690081
78.063690,2081.386172,1991.584555
78.563612,2080.837326,1990.450004
79.062028,2080.276427,1989.314299
79.580778,2079.678211,1988.127619
80.087709,2079.079509,1986.963610
80.579795,2078.485093,1985.829759
81.090281,2077.854766,1984.649618
81.596268,2077.216351,1983.476175
82.096079,2076.572505,1982.313635
82.612587,2075.893458,1981.108902
83.112445,2075.223164,1979.939958
83.610143,2074.543048,1978.773294
84.112215,2073.844210,1977.593773
84.610553,2073.138030,1976.420638
85.109382,2072.418765,1975.244169
85.620266,2071.669397,1974.037218
86.107804,2070.942392,1972.883684
86.621640,2070.163745,1971.666300
87.128143,2069.383865,1970.464867
87.639576,2068.584097,1969.250523
88.144563,2067.782424,1968.050494
88.642143,2066.980998,1966.867311
89.161131,2066.133067,1965.632642
89.660866,2065.305133,1964.443427
90.177233,2064.437983,1963.214489
90.685986,2063.572184,1962.003745
91.190899,2062.701849,1960.802426
91.685660,2061.838462,1959.625740
92.210207,2060.911852,1958.378953
92.710131,2060.018126,1957.191613
93.211138,2059.112229,1956.002809
93.709833,2058.200489,1954.820792
94.218301,2057.260747,1953.617159
94.726702,2056.311068,1952.415464
95.226770,2055.367299,1951.235400
95.743331,2054.382523,1950.018651
96.249590,2053.407817,1948.828582
96.757397,2052.420785,1947.637489
97.267388,2051.420264,1946.444117
97.766443,2050.432404,1945.279303
98.283193,2049.400527,1944.076491
98.794590,2048.370519,1942.889663
99.309939,2047.323865,1941.697428
99.831351,2046.256213,1940.495227
100.341401,2045.203571,1939.323399
100.859546,2044.126050,1938.137408
101.366744,2043.063512,1936.981019
101.861093,2042.020659,1935.858446
102.363259,2040.954190,1934.722887
102.873103,2039.864253,1933.575076
103.387411,2038.757662,1932.422646
103.889063,2037.671609,1931.304022
104.403999,2036.550123,1930.161579
104.906826,2035.448676,1929.051871
105.423216,2034.311210,1927.918468
105.933615,2033.180861,1926.804631
106.423786,2032.089806,1925.741124
106.941415,2030.931980,1924.624819
107.435263,2029.822128,1923.566476
107.965412,2028.625234,1922.437795
108.490215,2027.435068,1921.328315
108.991996,2026.292344,1920.274968
109.487359,2025.159862,1919.242435
109.991794,2024.002371,1918.198665
110.491198,2022.852377,1917.173110
